"ID","date","link","text","score","value"
6461,NA,NA,NA,NA,NA
6462,NA,NA,NA,NA,NA
6463,NA,NA,NA,NA,NA
6464,NA,NA,NA,NA,NA
6465,"9/20/2011","/KimKardashian/status/116255410922590208","I love this pic! http://bit.ly/orHAVL  Gonna get it framed for my mom for mother's day!",1,"Kris"
6466,NA,NA,NA,NA,NA
6467,NA,NA,NA,NA,NA
6468,NA,NA,NA,NA,NA
6469,NA,NA,NA,NA,NA
6470,NA,NA,NA,NA,NA
6471,NA,NA,NA,NA,NA
6472,"9/19/2011","/KimKardashian/status/116003842021261313","Did u guys watch Rob tonight on DWTS? I cried, Kourt almost had a heart attack & Khloe cussed out the judges! #Typical VOTE 8008683402 NOW!",-2,"Khloe"
6472,"9/19/2011","/KimKardashian/status/116003842021261313","Did u guys watch Rob tonight on DWTS? I cried, Kourt almost had a heart attack & Khloe cussed out the judges! #Typical VOTE 8008683402 NOW!",-2,"Kourtney"
6473,NA,NA,NA,NA,NA
6474,NA,NA,NA,NA,NA
6475,NA,NA,NA,NA,NA
6476,NA,NA,NA,NA,NA
6477,NA,NA,NA,NA,NA
6478,NA,NA,NA,NA,NA
6479,NA,NA,NA,NA,NA
6480,NA,NA,NA,NA,NA
6481,NA,NA,NA,NA,NA
6482,NA,NA,NA,NA,NA
6483,NA,NA,NA,NA,NA
6484,NA,NA,NA,NA,NA
6485,NA,NA,NA,NA,NA
6486,NA,NA,NA,NA,NA
6487,NA,NA,NA,NA,NA
6488,NA,NA,NA,NA,NA
6489,NA,NA,NA,NA,NA
6490,NA,NA,NA,NA,NA
6491,NA,NA,NA,NA,NA
6492,NA,NA,NA,NA,NA
6493,NA,NA,NA,NA,NA
6494,"9/15/2011","/KimKardashian/status/114462113648488448","I finished my backyard! http://bit.ly/o8PhVf  Thanks North 88 Outdoor for the amazing furniture!!",1,"North"
6495,NA,NA,NA,NA,NA
6496,"9/15/2011","/KimKardashian/status/114400443987275776","I can't get it outta my head RT @RobKardashian: Yo @KimKardashian! Our ADELE song just came on as I'm driving to rehearsal! Someone Like You",1,"Kim"
6497,NA,NA,NA,NA,NA
6498,NA,NA,NA,NA,NA
6499,"9/14/2011","/KimKardashian/status/114163355832426496","Must be emotional today bc when Kendall walked out on the runway I almost cried! I can't believe she's living her dream at such a young age",0,"Kendall"
6500,NA,NA,NA,NA,NA
